Day,SessionCode,SessionTitle,Room,PaperTime,PaperTitle,Authors
"Monday, Nov 3",M1-RBD,"Informal Learning Environments 1: Supporting Student Engagement, Motivation, and Research",Riverbed D,9:00,Empowering Undergraduate Research Through an Entrepreneurial Mindset Framework,"Maysam Nezafati (Georgia Institute of Technology, USA); Irene Reizman (Rose Hulman Institute of Technology, USA); Mary Lauren Benton (Baylor University, USA); Michelle K Marincel Payne (Rose-Hulman Institute of Technology, USA); Jonathan Rylander (Baylor University, USA); Liping Liu (Lawrence Technological University, USA)"
"Monday, Nov 3",M1-RBD,"Informal Learning Environments 1: Supporting Student Engagement, Motivation, and Research",Riverbed D,9:15,WIP: Integrating Sustainability in Engineering Through Undergraduate Research and Hands-on Laboratory Projects,"Carlos J Landaverde-Alvarado, Amanda Nguyen, Emily Mellen and Finnegan McGoldrick (The University of Texas at Austin, USA) 8:00 - 9:30"
"Monday, Nov 3",M1-WPA,"Pedagogical & Instructional Approaches 1: Enhancing Learning, Critical Thinking, and Student Success",Willow Pond A,8:00,A Scoping Review on AI Integration in Engineering Education and Its Impact on Students' Critical Thinking,"Fatemeh Mirzahosseini Zarandi and Madeline Martin (University of Cincinnati, USA); Siqing Wei (Youngstown State University, USA); David Reeping (University of Cincinnati, USA)"
"Monday, Nov 3",M1-WPA,"Pedagogical & Instructional Approaches 1: Enhancing Learning, Critical Thinking, and Student Success",Willow Pond A,8:15,Effects of an Instructor-Provided Study Plan on Students' Exam Preparation: Results from a Pilot Study,"Divya Bhargava (Texas A&M University, USA)"
"Monday, Nov 3",M1-WPA,"Pedagogical & Instructional Approaches 1: Enhancing Learning, Critical Thinking, and Student Success",Willow Pond A,8:30,"Students' Critical Thinking: Impact of FossilSketch, an Active Learning Educational Application","Daniel S Bahng, Anna Stepanova, Syeda Fizza Ali, Utsav Dabhi, Satya Bhavsar and Divij Bajaj (Texas A&M University, USA); Christina Belanger and Tracy Hammond (Texas A and M University, USA); Saira Anwar (Texas A&M University, USA)"
"Monday, Nov 3",M1-WPA,"Pedagogical & Instructional Approaches 1: Enhancing Learning, Critical Thinking, and Student Success",Willow Pond A,8:45,WIP: Adapting Pink Time to Support Self-Regulated Learning in a Variety of Engineering Classroom Contexts,"Erin Henslee and Michael Gross (Wake Forest University, USA); Andrea Ragonese (Pennsylvania State University, USA); Kelly Ottman (Milwaukee School of Engineering, USA); Craig Downing (Rose-Hulman Institute of Technology, USA)"
"Monday, Nov 3",M1-WPA,"Pedagogical & Instructional Approaches 1: Enhancing Learning, Critical Thinking, and Student Success",Willow Pond A,9:00,Exam Grades Largely Unaffected by Practice Exams in a Signals and Systems Course,"Mary Lanzerotti, Scott Dunning and R. Michael Buehrer (Virginia Tech, USA); Ahmad Safaai-Jazi (Virginia Tech, Saudi Arabia); Nektaria Tryfona and Luke Lester (Virginia Tech, USA); Creed Farris Jones (Virginia Tech, USA & Globe Biomedical, USA); Kenneth Reid (University of Indianapolis, USA); Muhammad Dawood (New Mexico State University, USA) 27"
"Monday, Nov 3",M1-WPA,"Pedagogical & Instructional Approaches 1: Enhancing Learning, Critical Thinking, and Student Success",Willow Pond A,9:15,WIP: Learning Skill Intervention in a Large-Enrollment Classroom,"Curt Schurgers (University of California San Diego, USA); Saharnaz Baghdadchi (UC San Diego, USA); Minju Kim (Chapman University, USA); Marko V. Lubarda (University of California San Diego, USA); Huihui Qi (UC San Diego, USA) 8:00 - 9:30"
"Monday, Nov 3",M1-WPB,Broadening Participation 1: Advancing Theory in Computing and Engineering Education,Willow Pond B,8:00,WIP: Bringing Classical and Quantum Machine Learning in Biomedical and Environmental Applications to the Community College,"Setting Jean S Larson (Arizona State University, USA); Anna Haywood (Maricopa Community Colleges, USA); Frank Marfai (Phoenix College, USA); Milton Johnson (Maricopa Community Colleges, USA); Niraj Babar (ASU, USA); Glen Uehara (Arizona State University & SenSIP Center, USA); Judith Klein-Seetharaman, Daniel Gulick and Jennifer M Blain Christen (Arizona State University, USA); Andreas Spanias (ASU / SenSIP Center / School of ECEE, USA)"
"Monday, Nov 3",M1-WPB,Broadening Participation 1: Advancing Theory in Computing and Engineering Education,Willow Pond B,8:15,WIP: What Does Mutuality Look like? Comparing How MSIs and Non-MSIs Engage in s-STEM Partnerships to Serve Low-Income,"Engineering and Computing College Students Sarah L Rodriguez and Amy Richardson (Virginia Tech, USA); Benjamin E Chaback (Virginia Polytechnic Institute and State University, USA); David Reeping (University of Cincinnati, USA); David Knight and Anya Work (Virginia Tech, USA)"
"Monday, Nov 3",M1-WPB,Broadening Participation 1: Advancing Theory in Computing and Engineering Education,Willow Pond B,8:30,WIP: Servingness and Graduate Engineering Education in Hispanic Serving Institutions,"Mayra S. Artiles (The Ohio State University, USA)"
"Monday, Nov 3",M1-WPB,Broadening Participation 1: Advancing Theory in Computing and Engineering Education,Willow Pond B,8:45,Educational Data Privacy: a Differential Privacy Algorithm,"Rafael Zamboni (Universidade Federal do ABC, Brazil); Itana Stiubiener (Universidade Federal do ABC UFABC, Brazil)"
"Monday, Nov 3",M1-WPB,Broadening Participation 1: Advancing Theory in Computing and Engineering Education,Willow Pond B,9:00,Conceptual Analysis and Conceptual Engineering: Methodological Issues in the Philosophy of Computing Education,"Roger McDermott (United Kingdom (Great Britain)); Mats Daniels (Uppsala University, Sweden); John N A Brown (Robert Gordon University, United Kingdom (Great Britain)); Åsa Cajander (Uppsala University, Sweden); Arnold N Pears (KTH Royal Institute of Technology, Sweden & Uppsala University, Sweden)"
"Monday, Nov 3",M1-WPB,Broadening Participation 1: Advancing Theory in Computing and Engineering Education,Willow Pond B,9:15,An Ontology for Theoretical Interpretation of Persistence in Computing Education,"Ashlyn Campbell, Anu G Bourgeois and Mario M Kubek (Georgia State University, USA) 28"
"Monday, Nov 3",M1-WPC,Faculty Development & Perspectives 1: Becoming and Being a Faculty Member,Willow Pond C,8:00,Faculty Preparation Strategies: Empowering Computing Students to Achieve Technical Interview Success,"Stephanie J. Lunn (Florida International University, USA); Edward C. Dillon, Jr (University of Maryland Baltimore County, USA); Krystal L Williams (University of Wisconsin, Madison, USA); Kevin Lemus (University of Maryland, Baltimore County, USA); Christian Ruiz (Florida International University, USA)"
"Monday, Nov 3",M1-WPC,Faculty Development & Perspectives 1: Becoming and Being a Faculty Member,Willow Pond C,8:15,Preparation Practices: Faculty Perspectives on Technical Interviews at Hispanic Serving Institutions in the Southeastern Region of,"the United States Ashmita Thapaliya and Stephanie J. Lunn (Florida International University, USA); Edward C. Dillon, Jr (University of Maryland Baltimore County, USA); Krystal L Williams (University of Wisconsin, Madison, USA)"
"Monday, Nov 3",M1-WPC,Faculty Development & Perspectives 1: Becoming and Being a Faculty Member,Willow Pond C,8:30,Exploring Early-Career Engineering Faculty Experiences Teaching Using Social Cognitive Theory,"Marcus Vinicius Melo de Lyra, Jialing Wu and Adam R Carberry (The Ohio State University, USA)"
"Monday, Nov 3",M1-WPC,Faculty Development & Perspectives 1: Becoming and Being a Faculty Member,Willow Pond C,8:45,Reflecting on What It Means to Be a Faculty Member Using the NPIB Model: A Guide for Self-Reflection,"Stephanie L Cutler (Penn State University, USA); Cassandra McCall (Utah State University, USA); Yu Xia (Emporia State University, USA)"
"Monday, Nov 3",M1-WPC,Faculty Development & Perspectives 1: Becoming and Being a Faculty Member,Willow Pond C,9:00,"A Systematized Literature Review of ""Work-Life Balance and ""Women in Engineering","Laura M Cruz Castro and Sarah Jayasekaran (University of Florida, USA) 8:00 - 9:30"
"Monday, Nov 3",M1-WPE,"Design Education 1: Advancing Systems Thinking, Industry Collaboration, and Innovative Practices",Willow Pond E,8:00,A Checklist-Based Intervention for Improved Comprehension of Design Concepts in CS Education,"Rupinder Kaur (North Dakota State University, USA); Malik Muhammad (NDSU, USA); Maninder Singh (St. Cloud State University, USA)"
"Monday, Nov 3",M1-WPE,"Design Education 1: Advancing Systems Thinking, Industry Collaboration, and Innovative Practices",Willow Pond E,8:15,Incorporating Interactive Design Reviews and Industry Experts in Capstone Projects,"Jim Beachnau (Stryker Corporation, USA); Jeffrey D Will and Georges El-Howayek (Valparaiso University, USA)"
"Monday, Nov 3",M1-WPE,"Design Education 1: Advancing Systems Thinking, Industry Collaboration, and Innovative Practices",Willow Pond E,8:30,WIP: Applying an Engineering Judgment Framework in Electrical and Computer Engineering Design Education,"Samuel J Dickerson and Renee Clark (University of Pittsburgh, USA)"
"Monday, Nov 3",M1-WPE,"Design Education 1: Advancing Systems Thinking, Industry Collaboration, and Innovative Practices",Willow Pond E,8:45,WIP: System Concept Compilation: a Generative AI Approach to Systems Modeling and Simulation,"Jon Wade and Richard Gessner (University of California, San Diego, USA) 29"
"Monday, Nov 3",M1-WPE,"Design Education 1: Advancing Systems Thinking, Industry Collaboration, and Innovative Practices",Willow Pond E,9:00,WIP: Supporting Student Learning About Embedded Systems Through Hardware-Software Antipatterns,"Diane T. Rover, Fana Teffera, James O. Joseph and Jesse Gillingham (Iowa State University, USA)"
"Monday, Nov 3",M1-WPE,"Design Education 1: Advancing Systems Thinking, Industry Collaboration, and Innovative Practices",Willow Pond E,9:15,Adapting Globally Distributed Scrum Team Strategies for University Classrooms,"Caleb Ramos and Sarah A Reynolds (Embry-Riddle Aeronautical University, USA); Lynn Vonderhaar (Embry-Riddle Aeronautical Unviersity, USA); Alexandra Davidoff, Omar Ochoa, Massood Towhidnejad and James Pembridge (Embry-Riddle Aeronautical University, USA) 9:30 - 10:30 M-CB1: Focus on Exhibitors, Coffee Break, Open Poster Session 1 10:30 - 12:00"
"Monday, Nov 3",M2-RBA,Computing Undergraduate 2: Hardware,Riverbed A,10:30,Enhancing Computer Programming Courses with Hardware and Simulation Projects,"Asad Azemi (University of Maryland Eastern Shore, USA)"
"Monday, Nov 3",M2-RBA,Computing Undergraduate 2: Hardware,Riverbed A,10:45,Enhancing Operating Systems Courses Through Automated Assessment,"Mitchell L Buckner, Devanshi Prajapati and Ruben Acuña (Arizona State University, USA)"
"Monday, Nov 3",M2-RBA,Computing Undergraduate 2: Hardware,Riverbed A,11:00,Concept of a Digital Battery Laboratory for Academic Training of Future Battery Experts,"Heiko Fechtner, Alexander Popp, Utz Spaeth and Benedikt Schmuelling (University of Wuppertal, Germany)"
"Monday, Nov 3",M2-RBA,Computing Undergraduate 2: Hardware,Riverbed A,11:15,A New Course on Wireless Networks and Protocols for IoT in Cyber Engineering,"Yong-Kyu Jung (Gannon University, USA & Ada, USA); Lokesh Venkata Sai Santhosh Vidadala (Research Assistant, USA)"
"Monday, Nov 3",M2-RBA,Computing Undergraduate 2: Hardware,Riverbed A,11:30,ToP-CK: Technological Pedagogical Content Knowledge and Adaptive Feedback Integrated Robot Path Planning,"Tingjun Lei (University of North Dakota, USA); Timothy Sellers and Chaomin Luo (Mississippi State University, USA); Lin Gong (Prairie View A&M University, USA); Zhuming Bi (Purdue University Fort Wayne, USA); Jiawen Wang (Eastern Washington University, USA)"
"Monday, Nov 3",M2-RBA,Computing Undergraduate 2: Hardware,Riverbed A,11:45,Advancing Robot Local Navigation Through Vector Field Histograms Using a Hybrid Learning Approach,"Timothy Sellers (Mississippi State University, USA); Tingjun Lei (University of North Dakota, USA); Jiawen Wang (Eastern Washington University, USA); Umar Iqbal (Illinois State University, USA); Lantao Liu (Indiana University-Bloomington, USA); Chaomin Luo (Mississippi State University, USA) 30"
"Monday, Nov 3",M2-RBC,Gen AI 2: Autograding and Feedback in Undergraduate Courses,Riverbed C,10:30,Enhancing Large Language Models for Automated Homework Assessment in Undergraduate Circuit Analysis,"Liangliang Chen, Huiru Xie, Zhihao Qin, Yiming Guo, Jacqueline Rohde and Ying Zhang (Georgia Institute of Technology, USA)"
"Monday, Nov 3",M2-RBC,Gen AI 2: Autograding and Feedback in Undergraduate Courses,Riverbed C,10:45,Evaluating the Efficacy of Using LLMs in Assessing Software Quality Assurance Projects,"Timothy R Elvira, Omar Ochoa and Juan Ortiz Couder (Embry-Riddle Aeronautical University, USA)"
"Monday, Nov 3",M2-RBC,Gen AI 2: Autograding and Feedback in Undergraduate Courses,Riverbed C,11:00,Lightweight LLM for Accurate & Accessible Automated Course Support in Student Forums,"Jason L Weber, Ulises Maldonado and Alessio Diaz Cama (University of California, Irvine, USA); Justin Tian Jin Chen (University of California Irvine, USA); Agustín Herlindo Angulo and Barbara Martinez Neda (University of California, Irvine, USA); Jennifer Wong-Ma and Sergio Gago-Masague (University of California Irvine, USA)"
"Monday, Nov 3",M2-RBC,Gen AI 2: Autograding and Feedback in Undergraduate Courses,Riverbed C,11:15,AI-Generated Essay Identification: a Machine Learning Approach and Fairness Analysis,"Lingrui Sun, Yisheng Yang and Yang Song (University of North Carolina Wilmington, USA)"
"Monday, Nov 3",M2-RBC,Gen AI 2: Autograding and Feedback in Undergraduate Courses,Riverbed C,11:30,Enhancing Inquiry-Based Learning in Failure Analysis Through AI: A Case Study on Formative Assessment with OpenAI's GPT,"Amir Saeidi (University of California, Davis, USA)"
"Monday, Nov 3",M2-RBC,Gen AI 2: Autograding and Feedback in Undergraduate Courses,Riverbed C,11:45,WIP: a Pedagogical Prompt Engineering Framework for LLM-Based Feedback in Higher Education (PPE-LLM),"Eyman Abdulrahman Alyahyan (The University of Glasgow, United Kingdom (Great Britain) & Imam Abdulrahman Bin Faisal University, Saudi Arabia); Mireilla Bikanga Ada and Jake Lever (University of Glasgow, United Kingdom (Great Britain)) 10:30 - 12:00"
"Monday, Nov 3",M2-RBD,Informal Learning Environments 2: Fostering K-12 Student Learning,Riverbed D,10:30,WIP Laboratorio Impacto: Fostering Culturally Relevant STEM Informal Learning,"Awilda Rodriguez Carrion, Aikaterini Kyprioti and Deborah Trytten (University of Oklahoma, USA)"
"Monday, Nov 3",M2-RBD,Informal Learning Environments 2: Fostering K-12 Student Learning,Riverbed D,10:45,"Development, Usability, and Effectiveness of the FossilSketch Application in Outreach Experiences","Utsav Dabhi and Divij Bajaj (Texas A&M University, USA); Heba Ibrahim Aly (University of Houston, USA); Anna Stepanova (Texas A&M University, USA); Christina Belanger and Tracy Hammond (Texas A and M University, USA); Saira Anwar (Texas A&M University, USA) 31"
"Monday, Nov 3",M2-RBD,Informal Learning Environments 2: Fostering K-12 Student Learning,Riverbed D,11:00,Toward Accessible Human-Data Interaction: Designing Auditory Displays for Informal Learning Environments,"Huaigu Li (Georgia Institute of Technology, USA); Jon Bellona (University of Oregon, USA); Leslie Smith (Your Ocean Consulting LLC, USA); Amy Bower (Woods Hole Oceanographic Institution, USA); Jessica Roberts (Georgia Institute of Technology, USA)"
"Monday, Nov 3",M2-RBD,Informal Learning Environments 2: Fostering K-12 Student Learning,Riverbed D,11:15,Empowering the Next Generation: Teaching Web Vulnerabilities and Network Intrusion Detection with Machine Learning to Middle,"and High School Students Zhenhua He (Texas A&M University, USA); Sandra B Nite (Texas a and M University, USA); Joshua Winchell (Texas AM University, USA); Wesley Brashear (Texas A&M University, USA); Dhruva Chakravorty, Lisa Perez and Honggao Liu (Texas A and M University, USA)"
"Monday, Nov 3",M2-RBD,Informal Learning Environments 2: Fostering K-12 Student Learning,Riverbed D,11:30,WIP: PicPrompt - a Novel Social Prompt Engineering Game Based Tool for Informal Learning in K-12,"Priyanka Kumar (The University of Texas Permian Basin, USA); Saniya Vahedian Movahed (University of Texas at San Antonio, USA); Griffin J Kopp (University of Texas Permian Basin, USA); Johnny T Ngo, Panhapiseth Lim and Omar A Beg (The University of Texas Permian Basin, USA)"
"Monday, Nov 3",M2-RBD,Informal Learning Environments 2: Fostering K-12 Student Learning,Riverbed D,11:45,WIP: EvolveMoralMaze: Introducing Middle School Students to AI Ethics,"Priyanka Kumar (The University of Texas Permian Basin, USA); Anupama Kumari (VIT Bhopal University, India); Saniya Vahedian Movahed (University of Texas at San Antonio, USA); Mohsen Dorodchi (University of North Carolina at Charlotte, USA); Panhapiseth Lim and Alejandro Sotelo (The University of Texas Permian Basin, USA) 10:30 - 12:00"
"Monday, Nov 3",M2-WPA,"Pedagogical & Instructional Approaches 2: Enhancing Engagement and Learning through Active, Hybrid, and Immersive",Willow Pond A,10:30,WIP: Evaluating the Effects of Active-Learning Implementation in a Foundational Engineering Course,"Catherine Ishikawa, Praveen Meduri, Sergio Aguilar-Rudametkin and Mohammed E. Eltayeb (California State University, Sacramento, USA); Milica Markovic (California State University Sacramento, USA)"
"Monday, Nov 3",M2-WPA,"Pedagogical & Instructional Approaches 2: Enhancing Engagement and Learning through Active, Hybrid, and Immersive",Willow Pond A,10:45,Integrating Virtual Labs in Senior Engineering Education: Student Experiences and Learning Outcomes,"Kimberly Cook-Chennault (Rutgers, the State University of New Jersey, USA)"
"Monday, Nov 3",M2-WPA,"Pedagogical & Instructional Approaches 2: Enhancing Engagement and Learning through Active, Hybrid, and Immersive",Willow Pond A,11:00,WIP: Immersive Case Studies to Improve Process Safety Judgments in Chemical Engineering,"Margaret Bowman, Brittany Butler-Morton, Erick Ayala-Ortiz and Aadan Plank (Rowan University, USA); Cheryl A. Bodnar (The Ohio State University, USA)"
"Monday, Nov 3",M2-WPA,"Pedagogical & Instructional Approaches 2: Enhancing Engagement and Learning through Active, Hybrid, and Immersive",Willow Pond A,11:15,Exploring Students Free Body Diagrams on Truss Structures Using Different Modalities on a Visuo-Haptic Simulation,"Hector Emilio Will (University of Evansville, USA); Alejandra J. Magana and Lynn A. Bryan (Purdue University, USA)"
"Monday, Nov 3",M2-WPA,"Pedagogical & Instructional Approaches 2: Enhancing Engagement and Learning through Active, Hybrid, and Immersive",Willow Pond A,11:30,Learning Mathematical Vectors' Properties and Operations Using the LSEESC Methodology in Engineering and Science Students,"Daniel Sánchez Guzmán, Sr and Erika Cervantes Juárez (Instituto Politécnico Nacional, Mexico) 32"
"Monday, Nov 3",M2-WPA,"Pedagogical & Instructional Approaches 2: Enhancing Engagement and Learning through Active, Hybrid, and Immersive",Willow Pond A,11:45,WIP: Enhancing Design Patterns Learning Through Gamification,"Luiz Carlos Begosso (Fundacao Educacional Do Municipio de Assis & FATEC Assis, Brazil); Luiz Ricardo Begosso (Fundacao Educacional Do Municipio de Assis, Brazil); Regina Barwaldt (Federal University of Rio Grande (FURG), Brazil & Center of Computational Sciences (C3), Brazil); Vitor Hugo Camoleze Delantonia and Uryel Jó de Lucca Araujo de Oliveira (Fundação Educacional do Municipio de Assis, Brazil); Ailime F. Rodrigues (Federal University of Rio Grande, Brazil) 10:30 - 12:00"
"Monday, Nov 3",M2-WPB,Broadening Participation 2: Deep Dive into Research Methods and Frameworks,Willow Pond B,10:30,WIP: Parents Study: a Different Approach to Racial Equity in STEM,"E Shirl Donaldson, Jennifer Lacosse and Thiago Ferreira (University of Michigan Flint, USA)"
"Monday, Nov 3",M2-WPB,Broadening Participation 2: Deep Dive into Research Methods and Frameworks,Willow Pond B,10:45,Interruption as a Framework for Unpacking the Experiences of Undergraduate Black Women in STEM: A Critical Case Study,"Tamara Pearson and Justina Jackson (Georgia Institute of Technology, USA); Kathaleena E Monds (Albany State University, USA); Pamela Leggett-Robinson (PLR Consulting, Inc., USA); Monica Stephens (Spelman College, USA)"
"Monday, Nov 3",M2-WPB,Broadening Participation 2: Deep Dive into Research Methods and Frameworks,Willow Pond B,11:00,"The Researcher's Lens: How Engaging in Photovoice Prepares Us to Study Lower-SES, First-Generation Engineering Students","Elizabeth Strehl (University of Michigan, USA); Sarah Jane Bork (University of Georgia, USA); Aaron Johnson (University of Michigan, USA)"
"Monday, Nov 3",M2-WPB,Broadening Participation 2: Deep Dive into Research Methods and Frameworks,Willow Pond B,11:15,Combatting Quantitative Erasure of LGBTQIA+ Students Through an Investigation of Their Engineering Identity and Sense of,"Belonging Ash Quadd and Justin C Major (Rowan University, USA); Allison Godwin (Cornell University, USA) 10:30 - 12:00"
"Monday, Nov 3",M2-WPC,Faculty Development & Perspectives 2: Enhancing Teaching Practices and Inclusive Pedagogies,Willow Pond C,10:30,Creating SMART Learning Objectives - Relationship Between Application Engagement and Performance,"Chris Minje Bahng, Anurag Srivastava and Daniel S Bahng (Texas A&M University, USA); Ahmed Ashraf Butt (The University of Oklahoma, USA); Asefeh Kardgar (Texas A&M University, USA); Swetha Nittala (Stanford University, USA); Saira Anwar (Texas A&M University, USA)"
"Monday, Nov 3",M2-WPC,Faculty Development & Perspectives 2: Enhancing Teaching Practices and Inclusive Pedagogies,Willow Pond C,10:45,"WIP: Invisible, Yet DependABLE: Examining the Socialization Experiences of Engineering Professors of Practice Who Teach Online at","a Public Research University Kourtney Rogers Gruner (Texas A&M University, USA) 33"
"Monday, Nov 3",M2-WPC,Faculty Development & Perspectives 2: Enhancing Teaching Practices and Inclusive Pedagogies,Willow Pond C,11:00,WIP: Do Metadiscursive Riffs Harmonize Lecture Delivery?,"Chang Kyoung Choi, Aneet Dharmavaram Narendranath and Radheshyam Tewari (Michigan Technological University, USA)"
"Monday, Nov 3",M2-WPC,Faculty Development & Perspectives 2: Enhancing Teaching Practices and Inclusive Pedagogies,Willow Pond C,11:15,A DevOps Workflow for Courses,"Joel Coffman (United States Air Force Academy, USA & Johns Hopkins University, USA)"
"Monday, Nov 3",M2-WPC,Faculty Development & Perspectives 2: Enhancing Teaching Practices and Inclusive Pedagogies,Willow Pond C,11:30,Factors Impacting Faculty Adoption of Project-Based Learning in Computing Education: a Survey,"Ahmad D Suleiman, Yiming Tang and Daqing HOU (Rochester Institute of Technology, USA)"
"Monday, Nov 3",M2-WPC,Faculty Development & Perspectives 2: Enhancing Teaching Practices and Inclusive Pedagogies,Willow Pond C,11:45,WIP: Design and Introduction of a Culturally Relevant and Responsive Instruction Workshop to STEM Higher Education Instructors,"So Yoon Yoon and Lei Wang (University of Cincinnati, USA); Kate Klein, Jiajun Xu, Ronnie Brown and Feiyang Bai (University of the District of Columbia, USA) 10:30 - 12:00"
"Monday, Nov 3",M2-WPD,Continuing Education: Fostering Student Learning through Online Platforms and Targeted Training,Willow Pond D,10:30,WIP: Lifelong Learning in Electric Engineering Education Using a Stakeholder Approach for Electrified Aviation,"Olof Lindahl and Jennifer Leijon (Uppsala University, Sweden)"
"Monday, Nov 3",M2-WPD,Continuing Education: Fostering Student Learning through Online Platforms and Targeted Training,Willow Pond D,10:45,Decoding AI Impact: Longitudinal Analysis of Code Submissions in Programming MOOCs,"Leo Leppänen (University of Helsinki, Finland); Juho Leinonen and Arto Hellas (Aalto University, Finland); Erkki Kaila and Linda Mannila (University of Helsinki, Finland)"
